GAME,GAME_NO,CAPITANES_LOGO,OPPONENT_LOGO,RESULT,score,OP_score
CAPITANES VS. STARS,1,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709903/primary/L/logo.svg,W,111,103
CAPITANES VS. STARS,2,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709903/primary/L/logo.svg,W,136,109
CAPITANES VS. HUSTLE,3,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709926/primary/L/logo.svg,L,113,128
CAPITANES VS. BLUE,4,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709889/primary/L/logo.svg,W,98,95
CAPITANES VS. BLUE,5,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709889/primary/L/logo.svg,W,118,116
CAPITANES VS. G LEAGUE IGNITE,6,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709930/primary/L/logo.svg,W,121,115
CAPITANES VS. G LEAGUE IGNITE,7,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709930/primary/L/logo.svg,L,122,123
CAPITANES VS. SPURS,8,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709890/primary/L/logo.svg,W,127,125
CAPITANES VS. SPURS,9,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709890/primary/L/logo.svg,W,91,86
CAPITANES VS. WARRIORS,10,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709902/primary/L/logo.svg,L,126,135
CAPITANES VS. WARRIORS,11,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709902/primary/L/logo.svg,W,128,117
CAPITANES VS. VIPERS,12,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709908/primary/L/logo.svg,L,120,124
CAPITANES VS. VIPERS,13,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709908/primary/L/logo.svg,L,96,110
CAPITANES VS. LEGENDS,14,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709918/primary/L/logo.svg,W,120,117
CAPITANES VS. LEGENDS,15,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709918/primary/L/logo.svg,W,114,110
CAPITANES VS. LAKERS,16,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709905/primary/L/logo.svg,W,113,109
CAPITANES VS. MAGIC,17,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709925/primary/L/logo.svg,W,122,121
CAPITANES VS. WOLVES,18,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709911/primary/L/logo.svg,W,114,113
CAPITANES VS. HUSTLE,19,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709926/primary/L/logo.svg,L,99,111
CAPITANES VS. WOLVES,20,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709911/primary/L/logo.svg,W,124,116
CAPITANES VS. SKY FORCE,21,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709904/primary/L/logo.svg,L,109,118
CAPITANES VS. CLIPPERS,22,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709924/primary/L/logo.svg,L,96,103
CAPITANES VS. CLIPPERS,23,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709924/primary/L/logo.svg,W,109,105