GAME,GAME_NO,CAPITANES_LOGO,OPPONENT_LOGO,eFGPCTG,OP_eFGPCTG,TOVPCTG,OP_TOVPCTG,ORBPCTG,OP_ORBPCTG,FTPERFGA,OP_FTPERFGA,RESULT
CAPITANES VS. STARS,1,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709903/primary/L/logo.svg,.477,.450,10.1,12.5,20.4,30.4,.216,.069,W
CAPITANES VS. STARS,2,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709903/primary/L/logo.svg,.642,.505,14.5,19.9,38.5,34.0,.095,.109,W
CAPITANES VS. HUSTLE,3,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709926/primary/L/logo.svg,.531,.628,14.4,14.6,29.8,32.4,.063,.089,L
CAPITANES VS. BLUE,4,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709889/primary/L/logo.svg,.458,.512,15.0,16.4,27.8,13.0,.145,.099,W
CAPITANES VS. BLUE,5,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709889/primary/L/logo.svg,.562,.505,13.7,10.4,19.6,26.5,.112,.115,W
CAPITANES VS. G LEAGUE IGNITE,6,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709930/primary/L/logo.svg,.605,.473,20.9,11.4,23.7,17.0,.198,.187,W
CAPITANES VS. G LEAGUE IGNITE,7,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709930/primary/L/logo.svg,.581,.584,14.2,15.6,28.6,26.5,.238,.260,L
CAPITANES VS. SPURS,8,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709890/primary/L/logo.svg,.594,.623,8.6,14.3,31.8,41.2,.212,.185,W
CAPITANES VS. SPURS,9,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709890/primary/L/logo.svg,.526,.440,15.4,17.6,31.7,36.7,.078,.096,W
CAPITANES VS. WARRIORS,10,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709902/primary/L/logo.svg,.505,.600,12.6,18.6,29.8,29.3,.149,.259,L
CAPITANES VS. WARRIORS,11,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709902/primary/L/logo.svg,.587,.535,14.5,16.1,20.5,28.9,.333,.163,W
CAPITANES VS. VIPERS,12,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709908/primary/L/logo.svg,.588,.659,15.9,22.7,33.3,37.5,.077,.134,L
CAPITANES VS. VIPERS,13,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709908/primary/L/logo.svg,.538,.484,18.1,11.6,22.2,29.2,.075,.106,L
CAPITANES VS. LEGENDS,14,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709918/primary/L/logo.svg,.515,.521,8.4,6.4,22.0,15.7,.098,.116,W
CAPITANES VS. LEGENDS,15,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709918/primary/L/logo.svg,.472,.66.7,9.2,18.0,48.0,20.7,.211,.067,W
CAPITANES VS. LAKERS,16,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709905/primary/L/logo.svg,.584,.517,16.8,8.6,29.5,12.8,.090,.111,W
CAPITANES VS. MAGIC,17,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709925/primary/L/logo.svg,.546,.537,14.3,17.7,22.2,33.3,.093,.138,W
CAPITANES VS. WOLVES,18,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709911/primary/L/logo.svg,.553,.532,17.5,16.8,32.7,27.7,.064,.063,W
CAPITANES VS. HUSTLE,19,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709926/primary/L/logo.svg,.522,.561,14.0,11.4,23.3,31.8,.045,.067,L
CAPITANES VS. WOLVES,20,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709911/primary/L/logo.svg,.566,.548,12.5,14.0,35.6,31.1,.121,.074,W
CAPITANES VS. SKY FORCE,21,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709931/primary/D/logo.svg,https://ak-static.cms.nba.com/wp-content/uploads/logos/nbagleague/1612709904/primary/L/logo.svg,.473,.596,9.2,10.0,34.0,28.9,.129,.120,L